Planet Name,Discovery Year,Discovery Method,Orbital Period (days),SemiMajor Axis (AU),Mass (Jupiter Mass),Stellar_Luminosity,Right Ascension (RA),Declination (Dec),RASTR,DECSTR,GLON,GLAT,ELON,ELAT,Ri (AU),Ro (AU)
Kepler-997 b,2016,Transit,2.70730672,0.0397,0.00761,0.496,289.2333767,49.9388952,19h16m56.01s,+49d56m20.02s,81.06648,16.58282,309.95247,70.7214,0.671497647731614,0.9673929173835073
Kepler-991 b,2016,Transit,82.5342519,0.3104,0.022,-0.831,297.0905543,49.6264867,19h48m21.73s,+49d37m35.35s,83.02035,11.86823,322.53491,68.18221,0.8691688820100184,1.252167931350219
HAT-P-29 b,2011,Transit,5.72319,0.0667,0.88,0.272,33.1310921,51.7787754,02h12m31.46s,+51d46m43.59s,135.4706,-9.10798,50.23673,35.89413,0.49726524840644887,0.7163850550994286
HAT-P-58 b,2021,Transit,4.0138379,0.04994,0.372,0.456,68.8465093,56.8682691,04h35m23.16s,+56d52m05.77s,150.04883,6.3006,76.15918,34.44069,0.6438520439863917,0.9275652852983266
TOI-1107 b,2022,Transit,4.0782387,0.0561,3.35,0.671,155.6078632,-82.2188693,10h22m25.89s,-82d13m07.93s,297.90095,-20.84697,250.21337,-68.63449,0.7810249675906654,1.1251834232022158
GPX-1 b,2021,Transit,1.744579,0.0338,19.7,0.727,38.3691648,56.025708,02h33m28.60s,+56d01m32.55s,136.89331,-4.05517,55.93745,38.52664,0.8129631547057289,1.171195164439961
HD 205158 b,2022,Radial Velocity,25.33798,0.177,0.392,0.653,323.9186227,-59.6933144,21h35m40.47s,-59d41m35.93s,334.58509,-43.52429,303.49961,-42.36721,0.7704780098330929,1.1099889511603767
TOI-712 b,2022,Transit,9.531361,0.07928,0.0153,-0.728,92.9361063,-65.8258386,06h11m44.67s,-65d49m33.02s,275.57855,-28.60732,149.54368,-88.60569,0.813522084407167,1.1720003863738173
XO-6 b,2016,Transit,3.7650007,0.0815,4.4,0.536,94.7929552,73.8275672,06h19m10.31s,+73d49m39.24s,140.47052,23.77558,92.0895,50.42311,0.6980492298346351,1.0056444474648987
GJ 1151 c,2023,Radial Velocity,389.7,0.5714,0.03341,-2.48,177.7304866,48.3732334,11h50m55.32s,+48d22m23.64s,147.86957,65.72032,154.15439,42.4808,1.5015143870590966,2.1631563242213607
Kepler-809 b,2016,Transit,55.63934,0.2901,0.0293,0.001,289.0836324,48.0180689,19h16m20.07s,+48d01m05.05s,79.18303,15.92719,307.57051,68.98147,0.03015113445777636,0.04343722427630694
Kepler-941 b,2016,Transit,17.42395198,0.1311,0.0305,-0.206,294.3262617,47.2175461,19h37m18.30s,+47d13m03.17s,79.9693,12.38563,315.4015,66.8624,0.4327501903786147,0.6234414529713427
HAT-P-44 b,2014,Transit,4.301219,0.0507,0.352,-0.194,213.1438604,47.0147826,14h12m34.53s,+47d00m53.22s,89.60271,64.52011,185.10398,55.02944,0.4199567077254944,0.605010525403531
Kepler-97 b,2014,Transit,2.58664,0.0356,0.011,-0.025,287.3265292,48.6733443,19h09m18.37s,+48d40m24.04s,79.35114,17.25653,305.11634,70.00841,0.15075567228888181,0.2171861213815347
Kepler-972 b,2016,Transit,7.03932553,0.0734,0.0614,0.191,295.828679,43.4254371,19h43m18.88s,+43d25m31.57s,77.04273,9.6939,314.11631,62.9638,0.41669696859512145,0.6003143830448893
Kepler-973 b,2016,Transit,49.6077331,0.2508,0.0142,-0.344,290.1653203,49.9238126,19h20m39.68s,+49d55m25.73s,81.29598,16.02462,311.58615,70.46552,0.5592202363356253,0.8056404928835099
Kepler-990 c,2016,Transit,0.53835431,0.0127,0.0093,-0.05,297.9381813,46.8813194,19h51m45.16s,+46d52m52.75s,80.84382,10.05477,320.53353,65.49214,0.21320071635561044,0.3071475584169756
Kepler-998 b,2016,Transit,5.65377733,0.0626,0.0189,0.193,296.7541629,49.2087085,19h47m01.00s,+49d12m31.35s,82.53844,11.86453,321.48322,67.9216,0.4188729466730281,0.6034492053157634
Kepler-959 b,2016,Transit,14.80074836,0.1633,0.0555,0.738,292.171185,40.8113849,19h28m41.08s,+40d48m40.99s,73.41447,10.89592,306.70725,61.45508,0.8190904046007931,1.180022385460835
Kepler-888 b,2016,Transit,70.6979061,0.328,0.0118,-0.043,295.5212866,49.7386804,19h42m05.11s,+49d44m19.25s,82.64032,12.81989,320.2545,68.76843,0.19771421064483222,0.2848369278582012
Kepler-994 b,2016,Transit,1.15116651,0.0177,0.01,-1.139,289.0720752,47.406918,19h16m17.30s,+47d24m24.90s,78.59578,15.69417,306.94836,68.41359,1.017572869849892,1.4659660991215264
Kepler-966 b,2016,Transit,99.747622,0.3907,0.0502,0.233,297.270576,50.1218365,19h49m04.94s,+50d07m18.61s,83.5226,11.99998,323.47119,68.55601,0.4602370930489869,0.6630404523929396
NY Vir b,2011,Eclipse Timing Variations,3160.0,3.3,2.3,1.375,204.7005847,-2.0303873,13h38m48.14s,-02d01m49.39s,326.17234,58.68771,203.63073,7.67833,1.118033988749895,1.6106953848079124
Kepler-760 c,2016,Transit,2.46697439,0.0333,0.00879,-0.28,287.5931997,44.1794278,19h10m22.37s,+44d10m45.94s,75.09507,15.37324,301.77189,65.68943,0.504524979109513,0.726843784311631
NGC 2682 Sand 364 b,2014,Radial Velocity,121.71,0.53,6.69,2.072,132.4866957,11.6924845,08h49m56.81s,+11d41m32.94s,215.64762,31.55047,131.66885,-5.8147,1.3724563248556814,1.9772288593544631
