Planet Name,Discovery Year,Orbital Period (days),SemiMajor Axis (AU),Spectral_Type,Mass (Earth Mass),Temperature,Stellar_Luminosity,Right Ascension (RA),Declination (Dec),radius,density,Ri (AU),Ro (AU),Habitable Zone
HD 109271 b,2013,7,0,G5 V,17,5509,1,188,-11,4,1,1.3483531603851702,1.942504641519791,No
HD 13908 b,2013,19,0,F8 V,274,5981,3,34,65,13,0,1.9067934763535672,2.7470215423223334,No
HD 101930 b,2005,70,0,K1 V,79,4834,0,175,-58,10,0,0.6672731615711311,0.9613069124584845,No
HD 113538 c,2010,1818,2,K9 V,295,4188,0,196,-52,13,0,0.28595892609222984,0.4119666549819144,No
HD 1605 b,2015,577,1,K1 IV,296,4641,6,5,30,13,0,2.4227224150354183,3.490294438124787,No
HD 215152 b,2018,5,0,K3 V,1,4661,0,340,-6,1,5,0.5221600694133806,0.7522497727242646,No
HD 116029 b,2011,670,1,K0,444,4545,11,200,24,13,0,3.2048201122014457,4.617023288920053,No
HD 188015 b,2004,461,1,G5 IV,476,5472,1,298,28,13,1,1.0204780258849884,1.4701514114331036,Yes
GJ 393 b,2021,7,0,M2.0 V,1,3305,0,157,0,1,5,0.15624411103545363,0.22509303928193644,No
HD 74156 c,2003,2448,3,G0,2753,5794,2,130,4,12,7,1.512877128868536,2.179526055352426,No
HD 18015 b,2018,2278,3,G6 IV,1048,5329,9,43,-8,13,2,2.926197651503089,4.215625910963363,Yes
HD 192310 b,2011,74,0,K3V,16,4892,0,303,-27,4,1,0.5912942522708159,0.8518479158768224,No
HD 110537 b,2022,24469,16,G6/8 V,8612,5444,1,190,-4,11,28,1.0909470127118528,1.5716725395886364,No
HD 4113 b,2007,526,1,G5,541,5414,1,10,-37,13,1,1.0526976596625308,1.5165686187343903,Yes
HD 73267 c,2022,17071,12,K0 V,1630,5043,0,129,-34,12,4,0.7794776325256751,1.1229542553298526,No
HD 141004 b,2021,15,0,G0Vvar,13,5612,2,236,7,3,1,1.420050069475855,2.0457947755759855,No
HD 171238 b,2009,1532,2,G8 V,2796,5166,0,278,-28,12,7,0.8596143512508698,1.2384031990141535,No
