Planet Name,Discovery Year,Orbital Period (days),SemiMajor Axis (AU),Spectral_Type,Mass (Earth Mass),Temperature,Stellar_Luminosity,Right Ascension (RA),Declination (Dec),radius,density,Ri (AU),Ro (AU),Habitable Zone
HD 155358 c,2007,391,1,G0,261,5626,1,257,33,13,0,1.3452520341716256,1.9380370048199016,No
HD 140901 b,2022,9,0,G6IV,15,5336,0,236,-37,4,1,0.8478200001929146,1.221411670127725,No
HD 129445 b,2009,1840,2,G6 V,797,5372,1,221,-68,13,1,1.0575566912860903,1.5235687814212637,No
HD 120084 b,2013,2085,4,G7 III,1831,4618,43,205,78,12,4,6.299464856349204,9.075322461552721,No
HD 132406 b,2007,974,1,G0 V,1970,5509,1,224,53,12,5,1.286185642832036,1.852943022986387,No
HD 142022 A b,2005,1928,2,G9 IV-V,1433,5147,1,242,-84,12,3,0.9578635725958455,1.3799459150439826,No
HIP 67851 c,2015,3923,6,K0 III,2204,4616,16,208,-35,12,5,3.826517090916384,5.512670885005059,No
HD 30669 b,2014,1684,2,G9 V,149,5126,0,72,-28,14,0,0.8059417563410541,1.1610797886511401,No
HD 31527 c,2019,51,0,G2 V,14,5624,1,73,-23,3,1,1.0442480126646068,1.5043956369111546,No
HD 2638 b,2005,3,0,K1 V,133,4912,0,7,-5,14,0,0.6520841700321698,0.9394248956165402,No
HD 27442 b,2000,428,1,K1/2III,495,4572,7,64,-59,13,1,2.5398242028702205,3.6589970993284657,No
TOI-778 b,2023,4,0,F3 V,878,6369,5,199,-15,15,1,2.2871974461358855,3.295050425751971,No
AU Mic c,2021,18,0,M1,9,3426,0,311,-31,3,1,0.28595892609222984,0.4119666549819144,No
HD 114729 b,2002,1121,2,G0 V,262,5570,2,198,-31,13,0,1.5481165641530004,2.230293738935452,Yes
GJ 676 A e,2012,35,0,M0 V,6,3732,0,262,-51,2,2,0.2869483008389871,0.4133919974620918,No
HIP 8541 b,2016,1852,3,K2 III/ IV,2451,4396,25,27,-54,12,6,4.806220122781523,6.924079811554697,No
HD 125612 d,2009,2822,3,G3 V,2281,5626,1,215,-17,12,6,1.0216535711984864,1.4718449604934507,No
HD 128311 b,2002,453,1,K0,562,4691,0,219,9,13,1,0.5288148683390322,0.7618370071234234,No
HD 130322 b,1999,10,0,K0 V,365,5113,0,221,0,13,0,0.727450852929643,1.0480018883848674,No
HD 134987 b,1999,258,0,G5 V,511,5462,1,228,-25,13,1,1.278803032359411,1.8423072670650604,No
HD 156411 b,2009,842,1,F8 IV/V,235,5626,5,259,-48,14,0,2.212094405589188,3.1868532492700066,No
HD 156846 b,2007,359,1,G0 V,3391,5816,4,260,-19,12,9,2.1271771413583775,3.0645172139049155,No
HD 159243 b,2013,12,0,G0 V,359,5849,1,263,5,13,0,1.0871855148348084,1.5662535386177499,No
TOI-169 b,2020,2,0,G1 V,251,5606,1,16,-75,12,0,1.2758618670014592,1.8380700779315644,No
HD 200964 b,2010,606,1,G8 IV,508,4708,11,316,3,13,1,3.245664739527211,4.67586609100818,No
HD 168746 b,2002,6,0,G5,85,5296,1,275,-11,11,0,0.9995480066839852,1.4399985845331886,No
HD 1690 b,2010,533,1,K1 III,2793,4100,33,5,-8,12,7,5.486604526088071,7.904275431123016,No
HD 153557 d,2022,40654,21,K0,8725,4563,0,254,47,11,28,0.49923342799717196,0.7192205125319843,No
HD 199509 b,2022,99,0,G3V,43,5522,0,317,-82,7,0,0.8655729132739993,1.2469873998947345,No
HD 38529 b,2000,14,0,G4 IV,206,5423,6,86,1,14,0,2.4905981284927403,3.588079567652463,No
HD 28185 b,2001,385,1,G5,1855,5388,1,66,-10,12,4,0.9711887822373403,1.3991428749639145,Yes
HD 196885 A b,2007,1333,2,F8 V,819,5980,2,309,11,13,1,1.4767387037348982,2.127463242269202,No
HD 19994 b,2003,466,1,F8 V,435,5914,3,48,-1,13,0,1.8591038807118412,2.678317538350709,No
HD 20003 b,2019,11,0,G8 V,11,5220,0,46,-72,3,1,0.8087301932399387,1.165096949568478,No
HD 33283 b,2006,18,0,G3/G5 V,104,5661,4,77,-26,12,0,1.9920656986248904,2.8698689478992487,No
TOI-712 d,2022,84,0,K4.5 V,6,4348,0,92,-65,2,2,0.41238575722317,0.5941034374657679,No
HD 28185 c,2022,17417,13,G5,6241,5388,1,66,-10,12,19,0.9711887822373403,1.3991428749639145,No
HD 43197 c,2022,9295,8,G8 V,2500,5234,0,93,-29,12,6,0.9168613327980422,1.3208760485876392,No
HD 217786 c,2022,2,0,F8 V,7,5692,2,345,0,2,2,1.353018258918115,1.9492254145484271,No
HD 170469 b,2007,1145,2,G5 IV,209,5568,1,277,11,14,0,1.2058787925728571,1.7372489793504247,No
HD 17092 b,2007,359,1,K0 III,3219,4052,57,41,49,12,9,7.199521905091069,10.371989422539588,No
HD 180902 b,2009,510,1,K0 III/IV,535,4687,9,289,-23,13,1,2.9228306805135413,4.21077528505376,No
HD 181433 c,2008,962,1,K3 IV,203,4688,0,291,-66,14,0,0.5294240395552814,0.7627146094829612,No
HD 207832 b,2012,160,0,G5 V,177,5452,0,328,-26,14,0,0.8400471397101321,1.210213700627377,No
HD 202206 c,2004,1260,2,G6 V,5689,5492,1,318,-20,12,17,0.9926671666050205,1.4300857040033383,No
HD 20794 e,2017,147,0,G8,4,5127,0,49,-43,2,3,0.7903212465448535,1.1385761051403918,No
HD 2039 b,2002,1120,2,G2/G3 IV/V,1999,5671,1,6,-56,12,5,1.1920752121790705,1.7173628547264708,No
HD 204941 b,2011,1733,2,K1/2V,73,4752,0,323,-20,10,0,0.5306444880106197,0.7644728482433117,No
HD 33844 b,2015,551,1,K0 III,638,4587,14,78,-14,13,1,3.5793457990657696,5.156583625541739,No
HD 33844 c,2015,916,2,K0 III,556,4587,14,78,-14,13,1,3.5793457990657696,5.156583625541739,No
HD 34445 b,2009,1049,2,G0 V,260,5605,2,79,7,13,0,1.3514614354329464,1.9469825771859195,No
HD 285968 b,2008,8,0,M2 V,8,3430,0,70,18,2,2,0.14135255320666784,0.20363952023977877,No
K2-229 b,2018,0,0,G9,2,5041,0,186,-6,1,8,0.6092613906367522,0.8777322692465952,No
K2-229 c,2018,8,0,G9,21,5041,0,186,-6,2,12,0.6092613906367522,0.8777322692465952,No
K2-99 b,2016,18,0,G0 IV,308,5943,9,208,-5,11,1,2.8827279401640165,4.153001282251437,No
GJ 3473 c,2020,15,0,M4,7,3073,0,120,3,2,2,0.11676257321833494,0.1682139717517472,No
HD 45364 b,2008,225,0,K0 V,60,5192,0,96,-31,9,0,0.7608580807267517,1.09613000271187,No
HD 260655 b,2022,2,0,M0 V,2,3529,0,99,17,1,6,0.18167855098550031,0.2617351588015055,No
HD 145457 b,2010,176,0,K0,708,4495,45,242,26,13,1,6.409197541423805,9.233408826717579,No
K2-34 b,2016,2,0,F,539,5894,2,127,22,13,0,1.5111363669616862,2.1770182271489666,No
CoRoT-20 b,2011,9,0,G2 V,1366,5606,1,97,0,9,8,1.1595878531805277,1.6705599491528578,No
HD 15337 b,2019,4,0,K1 V,7,4851,0,36,-27,1,9,0.6550940538048996,0.9437610839170094,No
HD 108236 f,2021,29,0,G3 V,4,5386,0,186,-51,2,3,0.8022387903316897,1.1557451116007107,No
GJ 832 b,2008,3657,3,M1 V,254,3198,0,323,-49,13,0,0.15374594046866208,0.2214940504829526,No
HD 125390 b,2019,1757,3,G7 III,8646,4608,13,214,38,11,28,3.477792426732394,5.010280785221168,Yes
K2-10 b,2015,19,0,F9,27,5346,0,172,1,3,2,0.8487966511375071,1.2228186820655127,No
HD 5278 c,2021,40,0,F V,18,5929,1,12,-83,4,1,1.3161447550821392,1.8961036105174862,No
NGTS-20 b,2022,54,0,G1 IV,947,5706,4,46,-21,11,3,2.0035660194066534,2.886436882142203,No
K2-140 b,2017,6,0,G6 V,295,5311,0,188,-9,13,0,0.9011636334778471,1.2982611620085545,No
K2-31 b,2016,1,0,G7 V,563,5006,0,245,-23,11,1,0.8400471397101321,1.210213700627377,No
K2-117 c,2017,5,0,M1.0 V,4,3504,0,133,10,2,3,0.19989579454347176,0.2879798261533048,No
HD 19615 b,2022,402,1,K0,2701,3989,327,48,73,12,7,17.250578247984993,24.852041215996355,No
HD 33142 d,2022,89,0,K0 III,63,4752,10,76,-13,9,0,3.015113445777636,4.343722427630693,No
K2-35 c,2016,5,0,K4 V,4,4129,0,170,1,1,3,0.4166809612953556,0.600291322132506,No
K2-21 c,2015,15,0,M0.0,6,3948,0,340,-14,2,5,0.3067634810965702,0.44193873191844985,No
K2-155 d,2018,40,0,K7,4,3984,0,65,21,1,3,0.2316347203076124,0.3337045015759393,No
K2-155 b,2018,6,0,K7,3,3984,0,65,21,1,3,0.2316347203076124,0.3337045015759393,No
K2-155 c,2018,13,0,K7,7,3984,0,65,21,2,2,0.2316347203076124,0.3337045015759393,No
HAT-P-28 b,2011,3,0,G3,198,5406,1,13,34,13,0,1.0134531045672952,1.460030960302902,No
WASP-60 b,2012,4,0,G1 V,174,5626,2,356,31,9,0,1.4216859040178647,2.0481514401976675,No
Kepler-120 c,2014,12,0,M0 V,2,3822,0,287,39,1,4,0.4373243480911118,0.6300312121298639,No
Kepler-225 c,2014,18,0,M1 V,4,3408,0,292,47,1,3,0.3029030577108915,0.43637721393841983,No
Kepler-186 f,2014,129,0,M1,1,3481,0,298,43,1,5,0.22351344760390604,0.32200459209711163,No
Kepler-40 b,2010,6,0,F5 IV,699,6236,6,296,47,13,1,2.447956281628934,3.5266476016886954,No
Kepler-445 b,2015,2,0,M4,3,2883,0,298,46,1,4,0.08497744271405641,0.12242273148184943,No
iot Dra c,2022,25000,19,K2 III,4958,4230,52,231,58,12,15,6.9231486624277245,9.973832379979564,No
Kepler-444 e,2015,7,0,K,0,4772,0,289,41,0,4,0.5845257629351757,0.8420968934170965,No
Kepler-446 d,2015,5,0,M4,2,3085,0,282,44,1,5,0.07166443106668634,0.10324334459908639,No
Kepler-309 c,2014,105,0,M0 V,6,4439,0,297,46,2,2,0.49238368857495673,0.709352437155461,No
Kepler-303 c,2014,7,0,M0 V,1,3670,0,283,43,1,5,0.27944970624187876,0.40258914904098736,No
Teegarden's Star c,2019,11,0,M7.0 V,1,2630,0,43,16,1,5,0.025751566770597027,0.03709898819386615,No
TOI-500 b,2022,0,0,K6 V,1,4166,0,106,-47,1,4,0.42589609434577946,0.6135671012448249,No
HD 137496 b,2021,1,0,G,4,5525,2,231,-16,1,10,1.4531272847824404,2.093447457491484,No
TOI-540 b,2020,1,0,M V,0,2942,0,76,-47,0,5,0.05607943860973403,0.08079082913419679,No
TOI-892 b,2020,10,0,F,301,5987,2,86,-11,11,0,1.5660429090966013,2.2561193232715935,No
HD 127506 b,2022,65,0,K3V,27,4322,0,217,35,5,0,0.4444302971081215,0.6402683957947141,No
HD 38529 c,2000,2127,3,G4 IV,3299,5423,6,86,1,12,9,2.4905981284927403,3.588079567652463,Yes
HD 145934 b,2015,2751,4,K0,658,4550,22,243,13,13,1,4.537364380736164,6.536752854369999,Yes
LHS 1140 b,2017,24,0,M4.5 V,6,2714,0,11,-15,1,8,0.05436303033441304,0.07831808598387735,No
LHS 1678 c,2021,3,0,M2.0 V,1,3216,0,68,-39,0,10,0.1147634663734208,0.16533395897821657,No
TOI-1728 b,2020,3,0,M0,26,3706,0,120,64,5,1,0.2826855813332486,0.40725091167783894,No
TOI-1227 b,2022,27,0,M4.5V-M5V,66,2798,0,186,-72,9,0,0.047786327747109454,0.06884336105492547,No
TOI-2406 b,2021,3,0,M4 V,8,2826,3,8,-3,2,1,1.7571290442351188,2.531407515817985,No
TOI-178 d,2021,6,0,K,3,4042,0,7,-30,2,0,0.34658012771371105,0.49930057385714144,No
WASP-158 b,2018,3,0,F6 V,886,6076,3,4,-10,11,3,1.6626607989704276,2.3953118620276435,No
WTS-1 b,2012,3,0,F6 V,1274,5976,1,293,36,16,1,1.0551243783921007,1.5200646704620446,No
gam Lib b,2018,415,1,K0 III,324,4548,70,233,-14,13,0,8.022387903316897,11.557451116007108,No
kap CrB b,2007,1247,2,K0 III-IV,635,4696,12,237,35,13,1,3.3212659832509344,4.784781003771873,No
HD 219828 b,2007,3,0,G0 IV,19,5617,2,349,18,4,1,1.5463352546924913,2.2277274959090088,No
OGLE-TR-111 b,2004,4,0,K2 V,174,4766,0,163,-61,11,0,0.6453623976386752,0.9297411759077711,No
HD 168443 b,1998,58,0,G5,2424,5217,2,275,-9,12,6,1.4801429380258562,2.132367551544613,No
HD 142 A d,2022,108,0,F7V,82,5999,2,1,-49,10,0,1.6455218651151344,2.37062066127791,No
HD 190984 b,2009,4885,5,F8 V,1137,5714,2,302,-64,13,2,1.5642409730446716,2.2535233645514055,No
HD 95544 b,2021,2041,3,G0,1913,5448,3,166,81,12,5,1.6531172489430195,2.381562949079999,No
GJ 2056 b,2020,69,0,M0V:,16,3796,0,108,-24,4,1,0.33635946839537134,0.4845761835797485,No
NGTS-1 b,2017,2,0,M0.5,258,3642,0,82,-36,14,0,0.25281547706575414,0.3642185534745078,No
NGTS-10 b,2020,0,0,K5 V,687,4326,0,91,-25,13,1,0.3988445457733509,0.5745952945949784,No
K2-285 c,2018,7,0,K2 V,15,4701,0,349,1,3,1,0.586548133897957,0.8450104216361837,No
HD 27894 b,2005,18,0,K2 V,196,4601,0,65,-59,14,0,0.5685958131213046,0.8191474152226875,No
HD 140901 c,2022,7417,7,G6IV,1997,5336,0,236,-37,12,5,0.8478200001929146,1.221411670127725,No
HD 216437 b,2002,1334,2,G1 V,1233,5635,2,343,-70,13,3,1.426604722781376,2.055237735212681,No
HD 168443 c,2000,1753,2,G5,5500,5217,2,275,-9,12,16,1.4801429380258562,2.132367551544613,No
HD 204313 e,2022,7325,7,G5 V,4868,5493,1,322,-21,12,14,1.0698026206200875,1.5412108764375405,No
TOI-157 b,2020,2,0,G9 IV,375,5130,1,73,-76,14,0,0.9756715859768778,1.4056010250442588,No
WASP-133 b,2016,2,0,G4,368,5426,2,314,-35,13,0,1.3545768757947194,1.9514708355598556,No
EPIC 246851721 b,2018,6,0,F5 V,953,5928,3,78,16,11,3,1.7470432534660971,2.51687742388226,No
HR 858 c,2019,5,0,F6 V,4,5927,2,42,-30,1,3,1.4615162801470345,2.1055330615544112,No
TOI-1231 b,2021,24,0,M3 V,15,3279,0,156,-52,3,1,0.17210903018990573,0.24794883107320284,No
HD 4308 b,2005,15,0,G5V,15,5412,0,11,-65,4,1,0.9490818265770763,1.367294494849859,No
HD 63765 b,2009,358,0,G9 V,168,5175,0,116,-54,14,0,0.7100740761343852,1.0229680392634701,Yes
HD 163607 b,2010,75,0,G5,249,5248,2,268,56,13,0,1.5463352546924913,2.2277274959090088,No
HD 113337 c,2022,5429,6,F6 V,6299,6394,4,195,63,12,19,1.9467207472855832,2.8045427551524376,No
HD 11506 b,2007,1613,2,G0 V,1551,5909,2,28,-19,12,3,1.405412000047008,2.0247064445334706,No
HD 148164 c,2018,5062,6,F8,1640,5758,2,246,11,12,4,1.3941312346933066,2.008454812762755,No
K2-21 b,2015,9,0,M0.0,4,3948,0,340,-14,1,2,0.2926197651503089,0.4215625910963363,No
HIP 57274 d,2011,431,1,K4 V,167,4366,1,176,30,14,0,1.186598124093518,1.7094722891530123,No
K2-16 b,2015,7,0,K3 V,4,4468,0,175,4,2,3,0.3970120215439026,0.571955269024538,No
K2-8 c,2016,5,0,K3 V,6,4596,0,169,0,2,2,0.48730813048449284,0.702040335668479,No
Kepler-539 b,2016,125,0,G2 V,308,5546,0,299,41,8,2,0.889823062062484,1.2819233706501414,No
EPIC 211945201 b,2018,19,0,G0,27,5795,2,136,19,5,0,1.4648854231274997,2.1103868165421833,No
HD 213885 c,2019,4,0,G,19,5704,1,338,-59,4,1,1.1189319050261306,1.6119889676655266,No
WASP-182 b,2019,3,0,G5,47,5364,1,311,-41,9,0,1.1397344022786038,1.641958080102352,No
HD 89345 b,2018,11,0,G5,34,5302,2,154,10,7,0,1.5552623455396402,2.240588307093596,No
HD 34445 g,2017,5700,6,G0 V,120,5562,2,79,7,13,0,1.3514614354329464,1.9469825771859195,No
HD 179949 b,2000,3,0,F8 V,291,5894,1,288,-24,13,0,1.3483531603851702,1.942504641519791,No
Kepler-235 c,2014,7,0,M0 V,2,3981,0,286,39,1,5,0.26810422464540046,0.38624428383138537,No
WASP-106 b,2014,9,0,F9,514,5781,2,166,-5,11,1,1.5498999256028074,2.2328629381597622,No
WASP-82 b,2015,2,0,F5,371,6206,6,72,1,18,0,2.378502747469431,3.4265893851631017,No
HAT-P-56 b,2015,2,0,F8,734,6292,3,100,27,16,0,1.8022027888920444,2.596342994726007,No
WASP-123 b,2016,2,0,G5,285,5466,1,289,-32,14,0,1.1489566878408912,1.6552441634790889,No
HATS-30 b,2016,3,0,G,224,5669,1,5,-59,13,0,1.0661140269125744,1.5358969048401605,No
HD 113337 b,2013,317,1,F6 V,1035,6500,4,195,63,13,2,1.9738023305226697,2.843557831234373,No
GJ 676 A d,2012,3,0,M0 V,3,3732,0,262,-51,1,3,0.2869483008389871,0.4133919974620918,No
TOI-824 b,2020,1,0,K4 V,18,4326,0,222,-57,2,4,0.42102090206782383,0.606543656715259,No
HAT-P-21 b,2010,4,0,G3,1547,5314,1,171,41,12,4,0.9813041995117281,1.413715648317147,No
TOI-559 b,2021,6,0,G V,1910,5651,1,46,-31,12,5,1.2382366587533555,1.783865331128277,No
HD 4917 b,2018,400,1,K0 III/IV,513,4528,28,12,-12,13,1,5.09687118229048,7.34280618736377,No
HD 12661 c,2002,1708,2,K0,575,5474,1,31,25,13,1,1.0251883384361844,1.4769373220257653,No
HD 28678 b,2011,380,1,G8 IV,490,4698,22,67,4,13,1,4.563558871167997,6.57448994042507,No
Kepler-155 c,2014,52,0,M0 V,5,4234,0,288,51,2,2,0.23675745200165624,0.34108456370305895,Yes
TOI-969 c,2022,1700,2,K V,3591,4161,0,115,2,12,10,0.42589609434577946,0.6135671012448249,No
WASP-59 b,2012,7,0,K5 V,274,4376,0,349,24,8,2,0.3822114185313098,0.5506327840154619,No
TOI-763 c,2020,12,0,G,9,5176,0,194,-39,2,2,0.7985528379056996,1.1504349451648925,No
51 Peg b,1995,4,0,G5V,146,5484,1,344,20,14,0,1.1150739174829496,1.6064309588813785,No
Kepler-186 c,2014,7,0,M1,2,3514,0,298,43,1,5,0.1935546714161919,0.27884448871420914,No
Kepler-186 d,2014,13,0,M1,2,3514,0,298,43,1,5,0.1935546714161919,0.27884448871420914,No
Kepler-186 e,2014,22,0,M1,2,3514,0,298,43,1,5,0.1935546714161919,0.27884448871420914,No
K2-95 b,2016,10,0,M3.0,11,3292,0,129,18,3,1,0.1451455272842485,0.20910386739105477,No
Kepler-159 b,2014,10,0,M0 V,6,4351,0,297,40,2,2,0.40022448773516517,0.5765833076353352,No
GJ 180 d,2020,106,0,M3,7,3538,0,73,-17,2,2,0.14955593675786957,0.21545772269040708,No
Kepler-267 d,2014,28,0,M1 V,5,3984,0,299,47,2,2,0.2316347203076124,0.3337045015759393,No
Kepler-444 d,2015,6,0,K,0,4772,0,289,41,0,7,0.5845257629351757,0.8420968934170965,No
HD 108236 c,2020,6,0,G3 V,4,5386,0,186,-51,2,3,0.8022387903316897,1.1557451116007107,No
HD 67087 b,2015,352,1,F8 V,973,6056,3,121,31,13,2,1.7754304227234887,2.5577733921361103,No
11 Com b,2007,326,1,G8 III,6165,4468,174,185,17,12,19,12.61257196979072,18.170298637355685,No
HD 47536 b,2002,712,1,K1 III,2330,4106,177,99,-32,12,6,12.685385142386286,18.275196916149547,No
HD 80606 b,2001,111,0,G5,1392,5287,0,140,50,11,5,0.9512696861427443,1.3704464341830895,No
Kepler-54 d,2014,20,0,M1 V,2,3978,0,294,43,1,4,0.21320807911030748,0.30715816556767883,No
Kepler-80 c,2012,9,0,K5,6,4266,0,296,39,2,1,0.39291956758022534,0.5660594762506491,No
HD 216435 b,2002,1311,2,G0 V,400,5725,3,343,-48,13,0,1.810521379004709,2.6083271694804426,Yes
K2-115 b,2017,20,0,G4,266,5383,0,126,12,12,0,0.8068701654107128,1.1624173009439327,No
HR 858 b,2019,3,0,F6 V,5,5927,2,42,-30,2,3,1.4615162801470345,2.1055330615544112,No
HD 108341 b,2014,1129,2,K2 V,715,4848,0,186,-71,13,1,0.6227355478426636,0.8971438104377573,No
TOI-132 b,2020,2,0,G8 V,22,5123,0,338,-43,3,3,0.7384203510045859,1.0638050930286955,No
Wolf 1061 d,2015,217,0,M3.5,7,3068,0,247,-12,2,2,0.09633933793475113,0.13879124297505227,No
eps CrB b,2012,417,1,K2 III,2129,4132,171,239,26,12,5,12.496939214927743,18.00371233813354,No
eps Ind A b,2019,16510,11,K2 V,1032,4480,0,330,-56,13,2,0.4659117437799857,0.6712156365418906,No
eps Tau b,2006,594,1,K0 III,2415,4627,97,67,19,12,6,9.392985619093594,13.532002370659207,No
tau Cet f,2017,636,1,G8.5V,3,5036,0,26,-15,1,3,0.6711253715722504,0.9668565978281138,No
tau Cet g,2017,20,0,G8.5V,1,5036,0,26,-15,1,5,0.6711253715722504,0.9668565978281138,No
ups And b,1996,4,0,F8 V,218,5883,3,24,41,14,0,1.745033052976433,2.5139814290522096,No
HIP 14810 d,2009,981,1,G5,187,5270,0,47,21,14,0,0.9425483932383479,1.3578821057529888,No
HD 10180 e,2010,49,0,G1 V,25,5637,1,24,-60,5,0,1.1635998522261988,1.6763398345693485,No
V0391 Peg b,2007,1170,1,sdBV,1017,29026,27,331,26,13,2,4.963678650402563,7.150922399785342,No
HD 191806 b,2016,1603,2,K0,2966,5736,2,302,52,12,8,1.4233236229685347,2.0505108195922115,No
GJ 1002 c,2022,21,0,M5.5 V,1,2750,0,1,-7,1,5,0.035752272961817204,0.05150650305397266,No
GJ 536 b,2016,8,0,M1 V,5,3411,0,210,-2,2,2,0.195345610740416,0.28142460500139305,No
HD 102956 b,2010,6,0,G5,305,4711,11,177,57,13,0,3.245664739527211,4.67586609100818,No
K2-150 b,2018,10,0,M2.5 V,4,3225,0,18,8,2,3,0.15374594046866208,0.2214940504829526,No
GJ 3293 b,2015,30,0,M2.5,23,3192,0,67,-25,5,0,0.14135255320666784,0.20363952023977877,Yes
ups And c,1999,241,0,F8 V,4443,5883,3,24,41,12,13,1.745033052976433,2.5139814290522096,No
COCONUTS-2 b,2021,402000000,7506,M3 V,2002,3132,0,117,-76,12,5,0.1298086572058628,0.18700880936846673,No
HD 18599 b,2022,4,0,K2 V,24,4871,0,44,-56,2,7,0.5818401110072082,0.8382278096422693,No
HATS-2 b,2013,1,0,K,427,4953,0,176,-22,13,1,0.7003314945698784,1.0089323915819433,No
KELT-6 c,2015,1276,2,F8,1179,5998,3,195,30,13,2,1.8063572953850953,2.6023281834607372,Yes
HD 96127 b,2011,647,1,K2 III,6661,3669,724,166,44,12,20,25.662777431967843,36.97107385549253,No
HD 34445 e,2017,49,0,G0 V,16,5562,2,79,7,4,1,1.3514614354329464,1.9469825771859195,No
HD 240237 b,2011,745,1,K2 III,5050,3652,309,348,58,12,15,16.761144006610245,24.146937899208357,No
HIP 65891 b,2015,1079,2,K0 III,1871,4726,44,202,-58,12,4,6.372409221515139,9.180409742890102,No
TOI-4127 b,2023,56,0,F V,731,5822,2,105,72,12,2,1.3718406178266953,1.976341841177949,No
K2-107 b,2017,3,0,F9 IV,266,5787,2,284,-22,15,0,1.626685732085224,2.343484390963957,No
HD 5319 c,2014,872,1,G5,334,4597,1,13,0,13,0,1.1331924110962535,1.6325333621502192,No
EPIC 212737443 b,2019,13,0,K3,7,4410,0,204,-7,2,2,0.40160920408800005,0.5785781989009156,No
HD 103891 b,2022,1919,3,F9,918,5798,6,179,-8,13,2,2.3566965032079277,3.3951742248500687,Yes
HD 13931 b,2009,4218,5,G0,889,5593,1,34,43,13,2,1.1948232293499061,1.7213217849727565,No
HD 214823 b,2016,1854,3,G0,5914,5941,4,340,31,12,18,1.9874840746567723,2.863268432481444,No
HD 68402 b,2016,1103,2,G5 IV/V,2510,5676,1,121,-74,12,6,1.0311068153026237,1.4854637742354386,No
HD 69123 b,2022,1193,2,K1 III,982,4568,29,123,-35,13,2,5.179688676733017,7.462117189911288,No
CoRoT-17 b,2011,3,0,G2 V,772,5466,1,278,-6,11,2,1.1125093186396033,1.602736270202477,No
GJ 876 c,2000,30,0,M4 V,226,3020,0,343,-14,14,0,0.10612156779032282,0.15288400995713386,Yes
GJ 9689 b,2020,18,0,M0.5,9,3562,0,303,13,3,1,0.23949897408779955,0.34503413680721595,No
HIP 14810 b,2005,6,0,G5,1239,5270,0,47,21,13,3,0.9425483932383479,1.3578821057529888,No
HR 5183 b,2019,27000,18,G0 V,1052,5520,2,206,6,13,2,1.505926089862965,2.1695120427566086,No
HD 126614 b,2009,1257,2,G8 IV,107,5294,1,216,-5,12,0,1.0490680424896974,1.5113396116668691,No
HD 154345 b,2006,3341,4,G9,378,5194,0,255,47,13,0,0.7409751740267562,1.0674856981732777,No
HD 7449 b,2011,1270,2,F9.5 V,2597,5750,1,18,-5,12,7,1.0710349856736583,1.542986282842139,No
HD 80869 b,2021,1752,2,G5,1609,5563,2,140,33,12,4,1.5111363669616862,2.1770182271489666,No
HD 73267 b,2008,1257,2,K0 V,1321,5113,0,129,-34,13,3,0.8439246211309998,1.2157997932615134,No
HIP 55507 b,2022,5138,5,M0,2585,3897,0,170,46,12,7,0.360415663885099,0.519232735564063,No
K2-15 b,2015,11,0,G8,6,4857,0,178,4,2,2,0.5659833526643431,0.8153837747221638,No
HD 219077 b,2012,5478,5,G8 V+,3057,5088,2,348,-62,12,8,1.5552623455396402,2.240588307093596,No
HD 233604 b,2013,192,0,K5,2089,4517,56,137,53,12,5,7.1499607449039955,10.30058914957624,No
HD 40307 c,2009,9,0,K2.5 V,6,4682,0,88,-60,2,2,0.4568815888083398,0.6582063460522578,No
HD 13189 b,2005,471,1,K2,3480,3901,432,32,32,12,10,19.829129881313705,28.566830978278393,No
WASP-185 b,2019,9,0,G0 V,311,5626,2,214,-19,14,0,1.5321583678632142,2.207303567462618,No
YZ Cet d,2017,4,0,M4.5 V,1,2877,0,18,-16,1,5,0.044648169415293745,0.06432237404315871,No
HD 192263 b,1999,24,0,K2 V,177,4702,0,303,0,14,0,0.5550136412240059,0.7995802626935343,No
HD 23079 b,2001,730,1,F9.5 V,829,5700,1,54,-52,13,1,1.1112292319716586,1.6008921136661283,Yes
HD 96167 b,2009,498,1,G5,227,5459,3,166,-10,14,0,1.8378228945664152,2.647659091010548,No
WASP-91 b,2017,2,0,K3,425,4646,0,357,-70,11,1,0.6134845888408359,0.8838164186775552,No
HD 85390 b,2009,799,1,K1.5 V,31,4912,0,147,-49,6,0,0.6248901188971963,0.9002477926857896,No
HD 39194 b,2021,5,0,K0 V,4,4931,0,86,-70,1,3,0.5953929082215323,0.8577526435417802,No
Kepler-42 c,2011,0,0,M,0,2794,0,292,44,0,4,0.04669857812726879,0.06727629483857285,No
HD 95089 c,2018,1785,3,G8/K0 IV,1096,4644,13,164,1,13,2,3.48179868897897,5.016052405919484,No
HD 35759 b,2016,82,0,G0,1195,5786,3,82,64,13,2,1.7693088808996438,2.5489543944466035,No
bet UMi b,2014,522,1,K4 III,1938,3852,537,222,74,12,5,22.095491032628285,31.8318636011345,No
HD 142245 b,2011,1299,2,K0,975,4648,13,238,15,13,2,3.5018993321698146,5.045010392478877,No
HD 14067 b,2014,2721,5,G9 III,5001,4541,79,34,23,12,15,8.478200001929144,12.214116701277247,No
TOI-1416 b,2023,1,0,G9 V,3,4610,0,216,41,1,4,0.561440396296179,0.8088389657725117,No
HATS-11 b,2016,3,0,G0,263,6289,2,289,-22,18,0,1.5163646708331873,2.1845503818069987,No
